ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE
Acquired_absence_of_limb	amputation	EFO_0009632	Narrow	Z89
Convalescence	caonvalescence	EFO_0009630	Exact	Z54
Pemphigoid	bullous skin disease	EFO_1000673	Broad	L12
Eccrine_sweat_disorders	sweat gland disease	EFO_1000772	Broad	L74
Traumatic_amputations_involving_multiple_body_regions	amputation	EFO_0009632	Broad	T05
Need_for_immunization_against_certain_single_viral_diseases	immunization	EFO_0004292	Broad	Z24
Need_for_immunization_against_other_single_viral_diseases	immunization	EFO_0004292	Broad	Z25
Need_for_immunization_against_other_single_infectious_diseases	immunization	EFO_0004292	Broad	Z26
Need_for_immunization_against_combinations_of_infectious_diseases	immunization	EFO_0004292	Broad	Z27
Transplanted_organ_and_tissue_status	transplant outcome measurement	EFO_0005198	Broad	Z94
"Persons encountering health services for specifie procedures, not carried out"	NA	Problematic	Problematic	Z53
Haemorrhage_from_respiratory_passages	hemorrhage	MP_0001914	Broad	R04
Renal_tubulo_interstitial_disorders_in_diseases_classified_elsewhere	renal tubule disease	EFO_0009566	Broad	N16
Occlusion_and_stenosis_of_cerebral_arteries_notcerebral_infarction	cerebrovascular disorder	EFO_0003763	Broad	I66
Orchitis_and_epididymitis	orchitis	EFO_1001078	Broad	N45
Other_disorders_of_nervous_system	nervous system disease	EFO_0000618	Exact	G98
Rheumatic_fever_with_heart_involvement	rheumatic heart disease	EFO_1001161	Broad	I01
Rapidly_progressive_nephritic_syndrome	kidney disease	EFO_0003086	Broad	N01
Dizziness_and_giddiness	vertigo	HP_0002321	Broad	R42
Chlamydia_psittaci_infection	chlamydophila psittaci infection	EFO_1001288	Broad	A70
Glomerular_disorders_in_diseases_classified_elsewhere	glomerular disease	EFO_1002049	Broad	N08
Hypertensive_renal_disease	renal hypertension	EFO_1002039	Exact	I12
Congenital_ichthyosis	congenital ichthyosis	Orphanet:281097	Narrow	Q80
Fracture of skull and facial bones	skull factures	EFO_1001425	Broad	S02
Headache	Headache	HP_0002315	Exact	R51
Fever of unknown origin	fever of unknown origin	EFO_0003952	Exact	R50
Dysphagia	Dysphagia	HP_0002015	Exact	R13
Heartburn	dyspepsia	EFO_0008533	Broad	R12
Cough	Cough	HP_0012735	Exact	R05
Urethritis and urethral syndrome	Urethritis	EFO_0003878	Broad	N34
Other arthritis	arthritis	EFO_0005856	Exact	M13
Systemic lupus erythematosus	systemic lupus erythematosus	EFO_0002690	Exact	M32
Systemic sclerosis	systemic scleroderma	EFO_0000717	Exact	M34
Psoriasis	psoriasis	EFO_0000676	Exact	L40
Follicular cysts of skin and subcutaneous tissue	Follicular cysts	EFO_1001329	Broad	L72
Other disorders of pigmentation	pigmentation disease	EFO_1000755	Exact	L81
"Ulcer of lower limb, not elsewhere classified"	ulcer of lower limb	EFO_0007068	Exact	L97
Dyspepsia	dyspepsia	EFO_0008533	Exact	K30
Inguinal hernia	inguinal hernia	HP_0000023	Exact	K40
Acute sinusitis	sinusitis	EFO_0007486	Broad	J01
Pneumonia due to Streptococcus pneumoniae	pneumococcal infection	EFO_0000772	Broad	J13
"Bacterial pneumonia, not elsewhere classified"	bacterial pneumonia	EFO_1001272	Exact	J15
"Pneumonia, organism unspecified"	pneumonia	EFO_0003106	Exact	J18
Nasal polyp	nasal cavity polyp	EFO_1000391	Exact	J33
Peritonsillar abscess	peritonsillar abscess	EFO_0007429	Exact	J36
Emphysema	emphysema	EFO_0000464	Exact	J43
Other chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	EFO_0000341	Exact	J44
Asthma	asthma	EFO_0000270	Exact	J45
Bronchiectasis	Bronchiectasis	HP_0002110	Exact	J47
Other interstitial pulmonary diseases	interstitial lung disease	EFO_0004244	Exact	J84
Other respiratory disorders	respiratory system disease	EFO_0000684	Exact	J98
Aortic aneurysm and dissection	aortic aneurysm	EFO_0001666	Broad	I71
Hordeolum and chalazion	Hordeolum	EFO_0007315	Broad	H00
Myasthenia gravis and other myoneural disorders	Myasthenia gravis	EFO_0004991	Broad	G70
Manic episode	manic or hypomanic episode	EFO_0007706	Broad	F30
Bipolar affective disorder	bipolar disorder	EFO_0000289	Exact	F31
"Sexual dysfunction, not caused by organic disorder or disease"	sexual dysfunction	EFO_0004714	Exact	F52
Other hypothyroidism	hypothyroidism	EFO_0004705	Exact	E03
Melanoma in situ	Clark level I melanoma	EFO_0004957	Exact	D03
"Haemangioma and lymphangioma, any site"	Hemangioma	EFO_1000635	Broad	D18
Leiomyoma of uterus	uterine fibroid	EFO_0000731	Broad	D25
Benign neoplasm of ovary	benign ovarian neoplasm	EFO_1000116	Exact	D27
Benign neoplasm of other and unspecified female genital organs	"Genital neoplasm, female"	EFO_1001331	Broad	D28
Benign neoplasm of brain and other parts of central nervous system	Benign brain neoplasm	EFO_1000107	Broad	D33
Benign neoplasm of thyroid gland	benign thyroid gland neoplasm	EFO_1000122	Exact	D34
Polycythaemia vera	Polycythaemia vera	EFO_0002429	Exact	D45
Myelodysplastic syndromes	myelodysplastic syndrome	EFO_0000198	Exact	D46
Purpura and other haemorrhagic conditions	Purpura	HP_0000979	Broad	D69
Malignant neoplasm of colon	colon carcinoma	EFO_1001950	Exact	C18
Malignant neoplasm of larynx	Malignant Laryngeal Neoplasm	EFO_1000354	Exact	C32
Mesothelioma	mesothelioma	EFO_0000588	Exact	C45
Secondary and unspecified malignant neoplasm of lymph nodes	metastasis to lymph node	EFO_0004906	Broad	C77
Hodgkin's disease	Hodgkins lymphoma	EFO_0000183	Exact	C81
Follicular [nodular] non-Hodgkin's lymphoma	Cutaneous Follicular Lymphoma	EFO_1000211	Broad	C82
Multiple myeloma and malignant plasma cell neoplasms	multiple myeloma	EFO_0001378	Broad	C90
Lymphoid leukaemia	lymphoid leukemia	EFO_0004289	Exact	C91
Myeloid leukaemia	acute myeloid leukemia	EFO_0000222	Exact	C92
Fracture of shoulder and upper arm	Bone fracture from OLS	EFO_0003931	Broad	S42
Elevated blood glucose level	fasting blood glucose measurement rather than elvated	EFO_0004468	Broad	R73
Other necrotising vasculopathies	vasculitis	EFO_0006803	Broad	M31
Other local infections of skin and subcutaneous tissue	General skin disease term	EFO_0000701	Broad	L08
Retinal vascular occlusions	retinal vein occlusion	EFO_1001157	Narrow	H34
"Reaction to severe stress, and adjustment disorders"	psychosocial stress measurement	EFO_0006783	Broad	F43
"Benign neoplasm of colon, rectum, anus and anal canal"	"anal neoplasm, not malignant specific"	EFO_0003835	Broad	D12
Benign neoplasm of breast	"breast neoplasm, not malignant specific"	EFO_0003869	Broad	D24
Malignant neoplasm of rectosigmoid junction	"rectal cancer, not malignant specific"	EFO_1000657	Broad	C19
Malignant neoplasm of breast	"breast neoplasm, not necessarily malignant"	EFO_0003869	Broad	C50
Malignant neoplasm of prostate	prostate carcinoma	EFO_0001663	Broad	C61
Malignant neoplasm of testis	"testicular carcinoma, not malignant spcific"	EFO_0005088	Broad	C62
Malignant neoplasm of brain	"brain neoplasm, not malignant specific"	EFO_0003833	Broad	C71
Failure and rejection of transplanted organs and tissues	transplant outcome measurement	EFO_0005198	Broad	T86
"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"	poisoning	EFO_0008546	Broad	T50
"Poisoning by psychotropic drugs, not elsewhere classified"	poisoning	EFO_0008546	Broad	T43
"Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs"	poisoning	EFO_0008546	Broad	T42
Poisoning by narcotics and psychodysleptics [hallucinogens]	poisoning	EFO_0008546	Broad	T40
"Poisoning by nonopioid analgesics, antipyretics and antirheumatics"	poisoning	EFO_0008546	Broad	T39
"Dislocation, sprain and strain of joints and ligaments at ankle and foot level"	ankle injury	EFO_1002021	Broad	S93
"Fracture of foot, except ankle"	Bone fracture	EFO_0003931	Broad	S92
Fracture of forearm	Bone fracture	EFO_0003931	Broad	S52
Abdominal and pelvic pain	pain in abdomen	EFO_0003766	Broad	R10
Medical abortion	abortion	EFO_1001491	Broad	O04
Other disorders of bladder	bladder disease	EFO_1000018	Exact	N32
Hydrocele and spermatocele	testicular hydrocele || spermatocele EFO_1001189	"EFO_1001859, EFO_1001189"	Broad	N43
"Redundant prepuce, phimosis and paraphimosis"	phimosis	EFO_1001104	Broad	N47
Salpingitis and oophoritis	Pelvic Inflammatory Disease	EFO_1001388	Broad	N70
Other inflammation of vagina and vulva	vaginal inflammation	EFO_0005757	Exact	N76
Other rheumatoid arthritis	rheumatoid arthritis	EFO_0000685	Exact	M06
"Other joint disorders, not elsewhere classified"	joint disease	EFO_1000999	Exact	M25
Osteoporosis without pathological fracture	osteoporosis	EFO_0003882	Broad	M81
Lichen simplex chronicus and prurigo	lichen disease	EFO_1000724	Broad	L28
"Other disorders of skin and subcutaneous tissue, not elsewhere classified"	skin disease	EFO_0000701	Exact	L98
Acute appendicitis	appendicitis	EFO_0007149	Broad	K35
Chronic sinusitis	sinusitis	EFO_0007486	Broad	J32
Pneumothorax	spontaneous pneumothorax	HP_0002108	Broad	J93
Acute pericarditis	pericarditis	EFO_0007427	Broad	I30
Other nontraumatic intracranial haemorrhage	intracranial hemorrhage NOS	EFO_0000551	Broad	I62
Cerebral infarction	brain infarction	EFO_0004277	Broad	I63
Other aneurysm	aneurysm	EFO_0009659	Exact	I72
Other hearing loss	hearing loss	EFO_0004238	Exact	H91
Transient cerebral ischaemic attacks and related syndromes	transient ischemic attack	EFO_0003764	Broad	G45
Acute and transient psychotic disorders	General psycotic symptoms term	EFO_0005940	Exact	F23
Other anxiety disorders	General anxiety disorder	EFO_0006788	Exact	F41
"Mental disorder, not otherwise specified"	General mental or behavioural disorder term	EFO_0000677	Broad	F99
Other disorders of thyroid	General throid disorder term	EFO_1000627	Exact	E07
Hyperparathyroidism and other disorders of parathyroid gland	Hyperparathyroidism	EFO_0008506	Broad	E21
Carcinoma in situ of skin	skin neoplasm	EFO_0004198	Broad	D04
Carcinoma in situ of breast	breast carcinoma	EFO_0000305	Broad	D05
Carcinoma in situ of cervix uteri	cervical carcinoma	EFO_0001061	Broad	D06
Benign neoplasm of mouth and pharynx	mouth neoplasm	EFO_0003868	Broad	D10
Benign neoplasm of major salivary glands	salivary gland neoplasm	EFO_0003826	Broad	D11
Other benign neoplasms of uterus	uterus neoplasm	EFO_0003859	Broad	D26
Neoplasm of uncertain or unknown behaviour of female genital organs	"Genital neoplasm, female"	EFO_1001331	Exact	D39
Neoplasm of uncertain or unknown behaviour of endocrine glands	endocrine neoplasm	EFO_0003769	Exact	D44
Malignant neoplasm of other and unspecified parts of tongue	tongue neoplasm	EFO_0003871	Broad	C02
Malignant neoplasm of tonsil	tonsil cancer	EFO_1001214	Exact	C09
Malignant neoplasm of oesophagus	esophageal carcinoma	EFO_0002916	Narrow	C15
Malignant neoplasm of stomach	stomach neoplasm	EFO_0003897	Broad	C16
Malignant neoplasm of rectum	rectum cancer	EFO_1000657	Exact	C20
Malignant neoplasm of anus and anal canal	anal neoplasm	EFO_0003835	Broad	C21
Malignant neoplasm of liver and intrahepatic bile ducts	Liver neoplasm	EFO_1001513	Broad	C22
Malignant neoplasm of pancreas	pancreatic carcinoma	EFO_0002618	Narrow	C25
Malignant neoplasm of bronchus and lung	Lung carcinoma	EFO_0001071	Broad	C34
Malignant melanoma of skin	cutaneous melanoma	EFO_0000389	Exact	C43
Malignant neoplasm of cervix uteri	cervical carcinoma	EFO_0001061	Broad	C53
Malignant neoplasm of corpus uteri	uterine corpus cancer	EFO_0007532	Broad	C54
Malignant neoplasm of ovary	Not malignant specific	EFO_0003893	Broad	C56
"Malignant neoplasm of kidney, except renal pelvis"	kidney neoplasm	EFO_0003865	Broad	C64
Malignant neoplasm of bladder	bladder carcinoma	EFO_0000292	Narrow	C67
Malignant neoplasm of eye and adnexa	eye neoplasm	EFO_0003824	Broad	C69
Malignant neoplasm of thyroid gland	thyroid carcinoma	EFO_0002892	Narrow	C73
Diffuse non-Hodgkin's lymphoma	non-Hodgkins lymphoma	EFO_0005952	Broad	C83
Chronic viral hepatitis	viral hepatitis	EFO_0007540	Broad	B18
Diarrhoea and gastro-enteritis of presumed infectious origin	diarrhoea||gastroenteritis	"EFO_1001463, EFO_1001463"	Broad	A09
Other septicaemia	sepsis	HP_0100806	Exact	A41
Personal history of other diseases and conditions	clinical history	EFO_0000352	Broad	Z87
Family history of malignant neoplasm	"There is only family history of breast or lung cancer, could use a parent term like family history of cancer?"	EFO:0009640	Exact	Z80
Other medical care	health care delivery	NCIT_C15219	Exact	Z51
Fitting and adjustment of other devices	?	?	?	Z46
Adjustment and management of implanted device	?	?	?	Z45
Donors of organs and tissues	organ donor||tissue donor	"EFO_0009634, EFO_0009633"	Exact	Z52
Fitting and adjustment of external prosthetic device	prosthesis fitting	OMIT_0018054	Broad	Z44
Other surgical follow-up care	follow-up	EFO:0009642	Broad	Z48
Attention to artificial openings	?	?	?	Z43
Postpartum care and examination	patient care? follow-up care?	NCIT_C15239? NCIT_C116570	?	Z39
Antenatal screening	screening	NCIT_C48261	?	Z36
"Certain early complications of trauma, not elsewhere classified"	complication	EFO_0009518	?	T79
Follow-up care involving plastic surgery	follow-up	EFO:0009642	Broad	Z42
Procedures for purposes other than remedying health state	medical procedure	EFO_0002571	Broad	Z41
Abnormal findings on diagnostic imaging of other body structures	abnormal finding	NCIT_C82547	Broad	R93
Symptoms and signs concerning food and fluid intake	sign or symptom	EFO_0003765	Broad	R63
Pregnancy examination and test	pregnancy test	EFO:0009643	Exact	Z32
Special screening examination for other diseases and disorders	medical examination	EFO_0009517	Broad	Z13
Special screening examination for neoplasms	medical examination	EFO_0009517	Broad	Z12
Special screening examination for infectious and parasitic diseases	medical examination	EFO_0009517	Broad	Z11
Follow-up examination after treatment for conditions other than malignant neoplasms	follow-up	EFO:0009642	Broad	Z09
Follow-up examination after treatment for malignant neoplasm	follow-up	EFO:0009642	Broad	Z08
Examination and observation for other reasons	medical examination	EFO_0009517	Broad	Z04
Medical observation and evaluation for suspected diseases and conditions	medical examination	EFO_0009517	Broad	Z03
Other special examinations and investigations of persons without complaint or reported diagnosis	medical examination	EFO_0009517	Broad	Z01
General examination and investigation of persons without complaint or reported diagnosis	medical examination	EFO_0009517	Broad	Z00
"Other complications of surgical and medical care, not elsewhere classified"	complication	EFO_0009518	Broad	T88
Complications peculiar to reattachment and amputation	complication	EFO_0009518	Broad	T87
"Complications of procedures, not elsewhere classified"	complication	EFO_0009518	Broad	T81
"Certain early complications of trauma, not elsewhere classified"	complication	EFO_0009518	Broad	T79
"Adverse effects, not elsewhere classified"	No general adverse effects term	EFO_0009658	Exact	T78
Foreign body in respiratory tract	foreign body	EFO_0009525	Broad	T17
Injury of unspecified body region	injury	EFO_0000546	Exact	T14
Open wound of ankle and foot	ankle injury||skin wound	EFO_1002021||EFO_0005756	Broad	S91
Other and unspecified injuries of lower leg	injury	EFO_0000546	Broad	S89
Injury of muscle and tendon at lower leg level	injury	EFO_0000546	Broad	S86
"Dislocation, sprain and strain of joints and ligaments of knee"	knee injury	EFO_0009507		S83
"Fracture of lower leg, including ankle"	lower extremity fracture	EFO_0009512	Broad	S82
Open wound of lower leg	leg injury	EFO_0009508	Broad	S81
Superficial injury of lower leg	leg injury	EFO_0009508	Broad	S80
Injury of muscle and tendon at hip and thigh level	leg injury	EFO_0009508	Broad	S76
Other and unspecified injuries of wrist and hand	injury	EFO_0000546	Broad	S69
Traumatic amputation of wrist and hand	amputation	EFO_0009632	Broad	S68
Crushing injury of wrist and hand	crush injury	EFO_0009504	Broad	S67
Injury of muscle and tendon at wrist and hand level	injury	EFO_0000546	Broad	S66
"Dislocation, sprain and strain of joints and ligaments at wrist and hand level"	dislocation||sprain	EFO_0009521||EFO_0009582	Broad	S63
Open wound of wrist and hand	skin wound	EFO_0005756	Broad	S61
Superficial injury of wrist and hand	injury	EFO_0000546	Broad	S60
Injury of muscle and tendon at forearm level	injury	EFO_0000546	Broad	S56
Open wound of forearm	skin wound	EFO_0005756	Broad	S51
Injury of muscle and tendon at shoulder and upper arm level	shoulder impingement syndrome	EFO_1001178	Narrow	S46
"Dislocation, sprain and strain of joints and ligaments of shoulder girdle"	dislocation||sprain	EFO_0009521||EFO_0009582	Broad	S43
"Other and unspecified injuries of abdomen, lower back and pelvis"	abdominal injury	EFO_0009502	Broad	S39
"Open wound of abdomen, lower back and pelvis"	abdominal injury	EFO_0009502	Broad	S31
"Fracture of rib(s), sternum and thoracic spine"	rib fracture	EFO_0009620	Narrow	S22
Superficial injury of thorax	injury	EFO_0000546	Broad	S20
"Dislocation, sprain and strain of joints and ligaments at neck level"	neck injury	EFO_0009476	Exact	S13
Fracture of neck	spinal fracture	EFO_0003902	Broad	S12
Other and unspecified injuries of head	head injury	EFO_0009505	Broad	S09
Intracranial injury	head injury	EFO_0009505	Broad	S06
Injury of eye and orbit	eye injury	EFO_0009485	Broad	S05
Open wound of head	head injury	EFO_0009505	Broad	S01
Other abnormal products of conception	conception	NCIT_C16465	Broad	O02
Abnormal findings on diagnostic imaging of lung	abnormality of the lung	HP_0002088	Broad	R91
Abnormal findings on diagnostic imaging of central nervous system	morphological abnormality of the central nervous system	HP_0002011	?	R90
Other abnormal findings of blood chemistry	abnormal blood homeostasis	HP_0001871	Broad	R79
Other abnormal immunological findings in serum	abnormality of the immune system	HP_0002715	Broad	R76
Unknown and unspecified causes of morbidity	disease	EFO_0000408	?	R69
Other general symptoms and signs	sign or symptom	EFO_0003765	Exact	R68
Maternal care for other conditions predominantly related to pregnancy	patient care?	NCIT_C15239?	Broad	O26
"Oedema, not elsewhere classified"	edema	EFO_0009373	Exact	R60
"Convulsions, not elsewhere classified"	seizures	HP_0001250	Narrow	R56
Syncope and collapse	syncope	HP_0001279	Exact	R55
Senility	cognitive impairment	HP_0100543	Broad	R54
Malaise and fatigue	fatigue||malaise	HP_0012378 | EFO_0009641	Exact	R53
Voice disturbances	voice disturbance	EFO_0009692	Exact	R49
"Speech disturbances, not elsewhere classified"	speech apraxia	HP_0011098	Narrow	R47
Other symptoms and signs involving cognitive functions and awareness	cognitive impairment	HP_0100543	Broad	R41
"Somnolence, stupor and coma"	coma	HP_0001259	Broad	R40
Other symptoms and signs involving the urinary system	abnormality of the urinary system	HP_0000079	Exact	R39
Other symptoms and signs involving the nervous and musculoskeletal systems	abnormality of the musculature||abnormality of the skeletal system||abnormality of the nervous system	HP_0003011||HP_0000924||HP_0000707	Broad	R29
Other skin changes	abnormality of the skin	HP_0000951	Exact	R23
"Localised swelling, mass and lump of skin and subcutaneous tissue"	lymphedema	Orphanet_79383	?	R22
Rash and other nonspecific skin eruption	skin disease	EFO_0000701	Broad	R21
Other symptoms and signs involving the digestive system and abdomen	abnormality of the digestive system	HP_0025031	Broad	R19
Flatulence and related conditions	flatulence	EFO_0009669	Exact	R14
Other symptoms and signs involving the circulatory and respiratory systems	abnormality of the respiratory system||abnormality of the cardiovascular system	HP_0002086||HP_0001626	Broad	R09
Pain in throat and chest	pain	EFO_0003843	Broad	R07
"Other congenital malformations of tongue, mouth and pharynx"	rare genetic developmental defect during embryogenesis	Orphanet_183530	Broad	Q38
Other congenital malformations of face and neck	rare genetic developmental defect during embryogenesis	Orphanet_183530	Broad	Q18
Ectopic pregnancy	ectopic pregnancy	HP_0031456	Exact	O00
Maternal care for known or suspected foetal abnormality and damage	fetal disorder? patient care? 	NCIT_C92719? NCIT_C15239?	Broad	O35
Gestational [pregnancy-induced] hypertension without significant proteinuria	preeclampsia||proteinuria	EFO_0000668||HP_0000093	Broad	O13
Haemorrhage in early pregnancy	hemorrhage	MP_0001914	Broad	O20
Maternal care for other known or suspected foetal problems	fetal disorder? patient care? 	NCIT_C92719? NCIT_C15239?	Broad	O36
Other deforming dorsopathies	-	-	-	M43
Other inflammatory spondylopathies	-	-	-	M46
Other disorders of amniotic fluid and membranes	abnormality of the amniotic fluid	HP_0001560	Exact	O41
"Antepartum haemorrhage, not elsewhere classified"	antepartum hemorrhage	HP_0025328	Exact	O46
False labour	Braxton-Hicks contraction	EFO:0009639	Exact	O47
Prolonged pregnancy	post term pregnancy	EFO_0009681	Exact	O48
Obstructed labour due to malposition and malpresentation of foetus	abnormal delivery	HP_0001787	Broad	O64
Other obstructed labour	abnormal delivery	HP_0001787	Broad	O66
Labour and delivery complicated by foetal stress [distress]	abnormal delivery	HP_0001787	Broad	O68
Labour and delivery complicated by umbilical cord complications	abnormal delivery	HP_0001787	Broad	O69
"Other complications of labour and delivery, not elsewhere classified"	abnormal delivery	HP_0001787	Broad	O75
Single spontaneous delivery	spontaneous labor and birth	EFO:0009638	Exact	O80
Single delivery by Caesarean section	cesarean section	EFO:0009636	Broad	O82
"Complications of the puerperium, not elsewhere classified"	puerperal disorder	EFO_0009683	Exact	O90
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"	pregnancy disorder	EFO_0009682	Exact	O99
Recurrent and persistent haematuria	hematuria	HP_0000790	Broad	N02
Acute tubulo-interstitial nephritis	nephritis	EFO_1002050	Broad	N10
"Tubulo-interstitial nephritis, not specified as acute or chronic"	nephritis	EFO_1002050	Broad	N12
Calculus of lower urinary tract	ureterolithiasis	EFO_1001228	Exact	N21
"Other disorders of kidney and ureter, not elsewhere classified"	urinary system disease	EFO_0009690	Broad	N28
"Neuromuscular dysfunction of bladder, not elsewhere classified"	neurogenic bladder	HP_0000011	Exact	N31
Other disorders of urethra	urethral disease	EFO_0009689	Exact	N36
Other disorders of urinary system	urinary system disease	EFO_0009690	Exact	N39
Hyperplasia of prostate	benign prostatic hyperplasia	EFO_0000284	Exact	N40
Other disorders of prostate	prostate disease	EFO_0009602	Exact	N42
Other disorders of penis	male reproductive system disease	EFO_0009555	Broad	N48
"Inflammatory disorders of male genital organs, not elsewhere classified"	male reproductive system disease	EFO_0009555	Broad	N49
Other disorders of male genital organs	male reproductive system disease	EFO_0009555	Broad	N50
Inflammatory disorders of breast	mastitis	EFO_1001034	Broad	N61
Other disorders of breast	breast disease	EFO_0009483	Exact	N64
Other female pelvic inflammatory diseases	pelvic inflammatory disease	EFO_1001388	Broad	N73
"Other noninflammatory disorders of uterus, except cervix"	female reproductive system disease	EFO_0009549	Broad	N85
Erosion and ectropion of cervix uteri	cervix erosion	EFO_1000862	Exact	N86
Other noninflammatory disorders of cervix uteri	female reproductive system disease	EFO_0009549	Broad	N88
Other noninflammatory disorders of vagina	female reproductive system disease	EFO_0009549	Broad	N89
Other noninflammatory disorders of vulva and perineum	female reproductive system disease	EFO_0009549	Broad	N90
"Excessive, frequent and irregular menstruation"	menorrhagia	HP_0000132	Broad	N92
Other abnormal uterine and vaginal bleeding	metrorrhagia	HP_0100608	Exact	N93
Menopausal and other perimenopausal disorders	menopause	EFO_0003922	Broad	N95
"Postprocedural disorders of genito-urinary system, not elsewhere classified"	disease of genitourinary system	EFO_0009663	Broad	N99
Other arthrosis	osteoarthritis	EFO_0002506	Exact	M19
Acquired deformities of fingers and toes	congenital deformities of fingers	Orphanet_294947	Broad	M20
Other acquired deformities of limbs	congenital deformities of limbs	Orphanet_294944	Exact	M21
Disorders of patella	abnormality of the patella	EFO_0009665	Exact	M22
Other specific joint derangements	joint disease	EFO_1000999	Broad	M24
Other systemic involvement of connective tissue	connective tissue disease	EFO_1001986	Broad	M35
Other spondylopathies	-	-	-	M48
"Other dorsopathies, not elsewhere classified"	-	-	-	M53
Other spondylopathies	spondyloarthropathy	EFO_0000706	?	M48
Other intervertebral disk disorders	discitis	EFO_1000900	Narrow	M51
"Other dorsopathies, not elsewhere classified"	back pain	HP_0003418	Broad	M53
Other disorders of muscle	muscular disease	EFO_0002970	Exact	M62
Spontaneous rupture of synovium and tendon	tendon rupture	HP_0100550	Broad	M66
Other disorders of synovium and tendon	tenosynovitis	EFO_1001435	Exact	M67
Other bursopathies	joint disease	EFO_1000999	Broad	M71
"Enthesopathies of lower limb, excluding foot"	enthesopathy	EFO_0009666	Broad	M76
Other enthesopathies	enthesopathy	EFO_0009666	Exact	M77
"Other soft tissue disorders, not elsewhere classified"	soft tissue disease	EFO_0009470	Exact	M79
Osteoporosis with pathological fracture	osteoporosis	EFO_0003882	Broad	M80
Disorders of continuity of bone	bone disease	EFO_0004260	Broad	M84
Other disorders of bone density and structure	bone density	EFO_0003923	Broad	M85
Other disorders of bone	bone disease	EFO_0004260	Exact	M89
Other disorders of cartilage	cartilage disease	EFO_0005802	Exact	M94
Other acquired deformities of musculoskeletal system and connective tissue	musculoskeletal system disease | connective tissue disease	EFO_0009676 | EFO_1001986	Exact	M95
"Postprocedural musculoskeletal disorders, not elsewhere classified"	musculoskeletal system disease	EFO_0009676	Broad	M96
Dermatitis due to substances taken internally	dermatitis due to unspecified substance taken internally	HP_0000964	Broad	L27
Other dermatitis	skin disease	EFO_0000701	Broad	L30
Other erythematous conditions	skin disease	EFO_0000701	Broad	L53
Nail disorders	genetic nail anomaly	Orphanet_183454	Narrow	L60
Other follicular disorders	folliculitis	EFO_1000702	Narrow	L73
Other epidermal thickening	epidermal thickening	HP_0011368	Exact	L85
Embedded and impacted teeth	impacted tooth	HP_0011079	Exact	K01
Gingivitis and periodontal diseases	periodontitis	EFO_0000649	Broad	K05
Other disorders of gingiva and edentulous alveolar ridge	gingival disease	EFO_0009670	Narrow	K06
Other disorders of teeth and supporting structures	tooth disease	EFO_1001216	Exact	K08
"Cysts of oral region, not elsewhere classified"	mouth neoplasm	EFO_0003868	Broad	K09
Stomatitis and related lesions	stomatitis	EFO_0009688	Exact	K12
Other diseases of lip and oral mucosa	mouth disease	EFO_1001047	Broad	K13
Diseases of tongue	mouth disease	EFO_1001047	Broad	K14
Other diseases of stomach and duodenum	digestive system disease	EFO_0000405	Broad	K31
Other non-infective gastro-enteritis and colitis	gastroenteritis	EFO_1001463	Broad	K52
Paralytic ileus and intestinal obstruction without hernia	gastrointestinal obstruction	HP_0004796	Broad	K56
Fissure and fistula of anal and rectal regions	anal fistula	HP_0012390	Narrow	K60
Other diseases of anus and rectum	anus disease||rectal disease	EFO_0009660 | EFO_0009685	Exact	K62
Other inflammatory liver diseases	liver disease	EFO_0001421	Broad	K75
Other diseases of pancreas	pancreas disease	EFO_0009605	Exact	K86
"Postprocedural disorders of digestive system, not elsewhere classified"	digestive system disease	EFO_0000405	Broad	K91
Other diseases of digestive system	digestive system disease	EFO_0000405	Exact	K92
Acute pharyngitis	pharyngitis	EFO_0009657	Exact	J02
Acute tonsillitis	tonsillitis	HP_0011110	Broad	J03
Acute upper respiratory infections of multiple and unspecified sites	respiratory system disease	EFO_0000684	Broad	J06
"Chronic rhinitis, nasopharyngitis and pharyngitis"	rhinitis	EFO_0008521	Broad	J31
Other disorders of nose and nasal sinuses	respiratory system disease	EFO_0000684	Broad	J34
Chronic diseases of tonsils and adenoids	lympathic system disease	EFO_0007352	Broad	J35
"Diseases of vocal cords and larynx, not elsewhere classified"	laryngeal disease	EFO_0009673	Exact	J38
Other diseases of upper respiratory tract	respiratory system disease	EFO_0000684	Broad	J39
"Bronchitis, not specified as acute or chronic"	bronchitis	EFO_0009661	Exact	J40
Pyothorax	pleural empyema	EFO_0009680	Exact	J86
"Pleural effusion, not elsewhere classified"	pleural effusion	EFO:0009637	Exact	J90
"Respiratory failure, not elsewhere classified"	respiratory failure	EFO_0009686	Exact	J96
Rheumatic mitral valve diseases	mitral valve disease	EFO_0009557	Broad	I05
Other diseases of pericardium	pericarditis	EFO_0007427	Exact	I31
Acute and subacute endocarditis	endocarditis	EFO_0000465	Broad	I33
Atrioventricular and left bundle-branch block	bundle branch block	EFO_0004138	Broad	I44
Other conduction disorders	conduction system disease	EFO_0005137	Exact	I45
